ああ,嗚呼,Ah!;Oh!;Alas!
はんする,反する,to be inconsistent with;to oppose;to contradict;to transgress;to rebel
はんせい,反省,reflection;reconsideration;introspection;meditation;contemplation
はんたい,反対,opposition;resistance;antagonism;hostility;contrast;objection;dissension;reverse;opposite;vice versa
はんだん,判断,judgement;decision;adjudication;conclusion;decipherment;divination
はんてい,判定,judgement;decision;award;verdict
はんとう,半島,peninsula
はんにん,犯人,offender;criminal
はんのう,反応,reaction;response
はんばい,販売,sale;selling;marketing
はんぱ,半端,remnant;fragment;incomplete set;fraction;odd sum;incompleteness
はんぱつ,反発,repelling;rebound;recover;oppose
はんぶん,半分,half
はんらん,反乱,insurrection;mutiny;rebellion;revolt;uprising
はんらん,氾濫,overflowing;flood
ば,場,place;field (physics)
ばあい,場合,case;situation
ばい,倍,twice;times;-fold;double;be doubled;increase
ばいきん,黴菌,bacteria;germ(s)
ばいしょう,賠償,reparations;indemnity;compensation
ばいてん,売店,shop;stand
ばいばい,売買,trade;buying and selling
ばいりつ,倍率,diameter;magnification
ばか,馬鹿,fool;idiot;trivial matter;folly
ばかばかしい,馬鹿馬鹿しい,stupid
ばからしい,馬鹿らしい,absurd
ばくぜん,漠然,obscure;vague;equivocal
ばくだい,莫大,enormous;vast
ばくだん,爆弾,bomb
ばくは,爆破,blast;explosion;blow up
ばくはつ,爆発,explosion;detonation;eruption
ばくろ,暴露,disclosure;exposure;revelation
ばける,化ける,to appear in disguise;to take the form of;to change for the worse
ばしょ,場所,place;location
ばち,罰,(divine) punishment;curse;retribution
ばっする,罰する,to punish;to penalize
ばったり,,with a clash (thud);with a bang;plump;flop;suddenly;abruptly;unexpectedly
ばつ,伐,strike;attack;punish
ばてる,,to be exhausted;to be worn out
ばね,発条,spring (e.g. coil  leaf)
ばめん,場面,scene;setting (e.g. of novel)
ばらまく,散蒔く,to disseminate;to scatter;to give money freely
ばん,晩,evening
ばん,判,size (of paper or books)
ばん,万,many;all
ばんぐみ,番組,program (e.g. TV)
ばんごう,番号,number;series of digits
ばんざい,万歳,hurrah;longlife;congratulations;cheers
ばんじん,万人,all people;everybody;10000 people
ばんち,番地,house number;address
ばんねん,晩年,(one's) last years
ばんのう,万能,all-purpose;almighty;omnipotent
ばんめ,番目,cardinal number suffix
ひ,日,sun;sunshine;day
ひ,火,fire;flame;blaze
ひ,非,faulty-;non-
ひ,費,cost;expense
ひいては,延いては,not only...but also;in addition to;consequently
ひえる,冷える,to grow cold;to get chilly;to cool down
ひかえしつ,控室,waiting room
ひかえる,控える,to draw in;to hold back;to make notes;to be temperate in
ひかく,比較,comparison
ひかくてき,比較的,comparatively;relatively
ひかげ,日陰,shadow
ひかり,光,light
ひかる,光る,to shine;to glitter;to be bright
ひかん,悲観,pessimism;disappointment
ひがい,被害,damage
ひがえり,日帰り,day trip
ひき,匹,head;small animal counter;roll of cloth
ひきあげる,引き上げる,to withdraw;to leave;to pull out;to retire
ひきいる,率いる,to lead;to spearhead (a group);to command (troops)
ひきうける,引き受ける,to undertake;to take up;to take over;to be responsible for;to guarantee;to contract (disease)
ひきおこす,引き起こす,to cause
ひきかえす,引き返す,to repeat;to send back;to bring back;to retrace one's steps
ひきさげる,引き下げる,to pull down;to lower;to reduce;to withdraw
ひきざん,引算,subtraction
ひきずる,引きずる,to seduce;to drag along;to pull;to prolong;to support
ひきだし,引き出し,drawer;drawing out
ひきだす,引き出す,to pull out;to take out;to draw out;to withdraw
ひきとめる,引き止める,to detain;to check;to restrain
ひきとる,引き取る,to take charge of;to take over;to retire to a private place
ひきょう,卑怯,cowardice;meanness;unfairness
ひきわけ,引き分け,a draw (in competition);tie game
ひく,引く,minus;to pull;to play (string instr.)
ひく,轢く,to run somebody over (with vehicle);to knock someone down
ひくい,低い,short;low;humble;low (voice)
ひけつ,否決,rejection;negation;voting down
ひげ,髭,moustache;beard;whiskers
ひげき,悲劇,tragedy
ひこう,非行,delinquency;misconduct
ひこう,飛行,aviation
ひこうじょう,飛行場,airport
ひごろ,日頃,normally;habitually
ひさしい,久しい,long;long-continued;old (story)
ひさしぶり,久し振り,after a long time
ひさん,悲惨,misery
ひざ,膝,knee;lap
ひざし,陽射,sunlight;rays of the sun
ひしょ,秘書,(private) secretary
ひじ,肘,elbow
ひじゅう,比重,specific gravity
ひじょう,非常,emergency;extraordinary;unusual
ひそか,密か,secret;private;surreptitious
ひたす,浸す,to soak;to dip;to drench
ひたすら,一向,earnestly
ひだり,左,left hand side
ひだりきき,左利き,left-handedness;sake drinker;left-hander
ひっかかる,引っ掛かる,to be caught in;to be stuck in;to be cheated
ひっかく,引っ掻く,to scratch
ひっかける,引っ掛ける,1.  to hang (something) on (something);to throw on (clothes); 2.  to hook;to catch;to trap;to ensnare; 3.  to cheat;to evade payment;to jump a bill; 4.  to drink (alcohol); 5.  to spit at (a person); 6.  to hit the ball off the end of the bat (baseball)
ひっき,筆記,(taking) notes;copying
ひっくりかえす,引っ繰り返す,to turn over;to overturn;to knock over;to upset;to turn inside out
ひっくりかえる,引っ繰り返る,to be overturned;to be upset;to topple over;to be reversed
ひっこし,引越し,moving (dwelling  office  etc.);changing residence
ひっこす,引っ越す,to move;to change residence
ひっこむ,引っ込む,to draw back;to sink;to cave in
ひっし,必死,inevitable death;desperation;frantic;inevitable result
ひっしゃ,筆者,writer;author
ひっしゅう,必修,required (subject)
ひってき,匹敵,comparing with;match;rival;equal
ひっぱる,引っ張る,1.  to pull;to draw;to stretch;to drag; 2.  to pull the ball (baseball)
ひつじ,未,eighth sign of Chinese zodiac (The Ram  1pm-3pm  south-southwest  June)
ひつじゅひん,必需品,necessities;necessary article;requisite;essential
ひつぜん,必然,inevitable;necessary
ひつよう,必要,necessary;essential;indispensable
ひてい,否定,negation;denial;repudiation
ひといき,一息,puffy;a breath;a pause;an effort
ひとえ,単,one layer;single
ひとがら,人柄,personality;character;personal appearance;gentility
ひところ,一頃,once;some time ago
ひとごみ,人込み,crowd of people
ひとさしゆび,人差指,index finger
ひとしい,等しい,equal
ひとじち,人質,hostage;prisoner
ひとすき,一筋,a line;earnestly;blindly;straightforwardly
ひとつ,一つ,one
ひととおり,一通り,ordinary;usual;in general;briefly
ひとどおり,人通り,pedestrian traffic
ひとまず,一まず,for the present;once;in outline
ひとみ,瞳,pupil (of eye)
ひとやすみ,一休み,a rest
ひとり,独り,alone;unmarried
ひとりごと,独り言,a soliloquy;a monologue;speaking to oneself
ひとりでに,一人でに,by itself;automatically;naturally
ひとりひとり,一人一人,one by one;each;one at a time
ひどい,酷い,cruel;awful;severe;very bad;serious;terrible;heavy;violent
ひどり,日取り,fixed date;appointed day
ひな,雛,young bird;chick;doll
ひなた,日向,sunny place;in the sun
ひなまつり,雛祭,Girls' (dolls') Festival
ひなん,非難,blame;attack;criticism
ひなん,避難,taking refuge;finding shelter
ひにく,皮肉,cynicism;sarcasm
ひにち,日日,the number of days
ひねる,捻る,to turn (a switch) on or off;to twist;to puzzle over
ひのいり,日の入り,sunset
ひので,日の出,sunrise
ひのまる,日の丸,the Japanese flag
ひはん,批判,criticism;judgement;comment
ひばな,火花,spark
ひひょう,批評,criticism;review;commentary
ひび,日々,every day;daily;day after day
ひびき,響き,echo;sound;reverberation;noise
ひびく,響く,to resound
ひふ,皮膚,skin
ひみつ,秘密,secret;secrecy
ひめい,悲鳴,shriek;scream
ひも,紐,string;cord;pimp
ひゃく,百,(num) 100;hundred
ひゃっかじてん,百科事典,encyclopedia
ひゃっかじてん,百科辞典,encyclopedia
ひやかす,冷やかす,to banter;to make fun of;to jeer at;to cool;to refrigerate
ひやけ,日焼け,sunburn
ひやす,冷やす,to cool;to refrigerate
ひょう,票,label;ballot;ticket;sign
ひょうか,評価,valuation;estimation;assessment;evaluation
ひょうげん,表現,expression;presentation;representation (math)
ひょうご,標語,motto;slogan;catchword
ひょうし,表紙,front cover;binding
ひょうしき,標識,sign;mark
ひょうじゅん,標準,standard;level
ひょうじょう,表情,facial expression
ひょうばん,評判,fame;reputation;popularity;arrant
ひょうほん,標本,example;specimen
ひょうめん,表面,surface;outside;face;appearance
ひょうろん,評論,criticism;critique
ひょっと,,possibly;accidentally
ひよう,費用,cost;expense
ひらがな,平仮名,hiragana;47 syllables;the cursive syllabary
ひらく,開く,to open (e.g. a festival)
ひらたい,平たい,flat;even;level;simple;plain
ひりつ,比率,ratio;proportion;percentage
ひりょう,肥料,manure;fertilizer
ひる,昼,noon;daytime
ひるね,昼寝,nap (at home);siesta
ひれい,比例,proportion
ひろい,広い,spacious;vast;wide
ひろう,疲労,fatigue;weariness
ひろう,拾う,to pick up;to find;to gather
ひろがる,広がる,to spread (out);to extend;to stretch;to reach to;to get around
ひろげる,広げる,to spread;to extend;to expand;to enlarge;to widen;to broaden;to unfold;to open;to unroll
ひろさ,広さ,extent
ひろば,広場,plaza
ひろびろ,広々,extensive;spacious
ひろまる,広まる,to spread;to be propagated
ひろめる,広める,to broaden;to propagate
ひんこん,貧困,poverty;lack
ひんしつ,品質,quality
ひんしゅ,品種,brand;kind;description
ひんじゃく,貧弱,poor;meagre;insubstantial
ひんぱん,頻繁,frequency
び,美,beauty
びしょう,微笑,smile
びじゅつ,美術,art;fine arts
びじん,美人,beautiful person (woman)
びっくり,吃驚,be surprised;be amazed;be frightened;astonishment
びっしょり,,wet through;drenched
びみょう,微妙,delicate;subtle
びょう,秒,second (60th min)
びょういん,病院,hospital
びょうき,病気,illness;disease;sickness
びょうしゃ,描写,depiction;description;portrayal
びょうどう,平等,equality (a);impartiality;evenness
びよう,美容,beauty of figure or form
びり,,last on the list;at the bottom
びりょう,微量,minuscule amount;extremely small quantity
びん,便,mail;post;flight (e.g. airline flight);service;opportunity;chance;letter
びんかん,敏感,sensibility;susceptibility;sensitive (to);well attuned to
びんせん,便箋,writing paper;stationery
びんづめ,瓶詰,bottling;bottled
びんぼう,貧乏,poverty;destitute;poor
ぴかぴか,,glitter;sparkle
ぴったり,,exactly;neatly;sharp
ふ,歩,pawn (in chess or shogi)
ふあん,不安,anxiety;uneasiness;insecurity;suspense
ふい,不意,sudden;abrupt;unexpected;unforeseen
ふう,封,seal
ふうけい,風景,scenery
ふうさ,封鎖,blockade;freezing (funds)
ふうしゅう,風習,custom
ふうせん,風船,balloon
ふうぞく,風俗,1.  manners;customs; 2.  sex service;sex industry
ふうとう,封筒,envelope
ふうど,風土,natural features;topography;climate;spiritual features
ふうふ,夫婦,married couple;spouses;husband and wife;couple;pair
ふうん,不運,unlucky;misfortune;bad luck;fate
ふえ,笛,flute;pipe
ふえる,増える,to increase;to multiply
ふえる,殖える,to increase;to multiply
ふか,不可,wrong;bad;improper;unjustifiable;inadvisable
ふかい,深い,deep;profound;thick;close
ふかけつ,不可欠,indispensable;essential
ふかまる,深まる,to deepen;to heighten;to intensify
ふかめる,深める,to deepen;to heighten;to intensify
ふきそく,不規則,irregularity;unsteadiness;disorderly
ふきつ,不吉,ominous;sinister;bad luck;ill omen;inauspiciousness
ふきゅう,普及,diffusion;spread
ふきょう,不況,recession;depression;slump
ふきん,布巾,tea-towel;dish cloth
ふきん,付近,neighbourhood;vicinity;environs
ふく,福,good fortune
ふく,吹く,to blow (wind  etc)
ふく,拭く,to wipe;to dry
ふく,服,clothes
ふくきゅう,復旧,restoration;restitution;rehabilitation
ふくごう,複合,composite;complex
ふくざつ,複雑,complexity;complication
ふくし,福祉,welfare;well-being
ふくし,副詞,adverb
ふくしゃ,複写,copy;duplicate
ふくしゅう,復習,review
ふくすう,複数,plural;multiple
ふくそう,服装,garments
ふくむ,含む,to hold in the mouth;to bear in mind;to understand;to cherish;to harbor;to contain;to comprise;to have;to hold;to include;to embrace;to be charged or loaded with;to be dripping with;to be full of;to be suffused with
ふくめる,含める,to include;to instruct;to make one understand;to put in one's mouth
ふくめん,覆面,mask;veil;disguise
ふくらます,膨らます,to swell;to expand;to inflate;to bulge
ふくらむ,膨らむ,to expand;to swell (out);to get big;to become inflated
ふくれる,膨れる,to get cross;to get sulky;to swell (out);to expand;to be inflated;to distend;to bulge
ふくろ,袋,bag;sack
ふけいき,不景気,business recession;hard times;depression;gloom;sullenness;cheerlessness
ふけつ,不潔,unclean;dirty;filthy;impure
ふける,更ける,to get late;to advance;to wear on
ふける,老ける,to age
ふこう,不幸,unhappiness;sorrow;misfortune;disaster;accident;death
ふこく,布告,edict;ordinance;proclamation
ふごう,富豪,wealthy person;millionaire
ふごう,符号,sign;mark;symbol
ふさい,負債,debt;liabilities
ふさい,夫妻,man and wife;married couple
ふさがる,塞がる,to be plugged up;to be shut up
ふさぐ,塞ぐ,to stop up;to close up;to block (up);to occupy;to fill up;to take up;to stand in another's way;to plug up;to shut up
ふさわしい,相応しい,appropriate
ふざい,不在,absence
ふざける,不山戯る,to romp;to gambol;to frolic;to joke;to make fun of;to flirt
ふしぎ,不思議,wonder;miracle;strange;mystery;marvel;curiosity
ふしょう,負傷,injury;wound
ふしん,不審,incomplete understanding;doubt;question;distrust;suspicion;strangeness;infidelity
ふしん,不振,dullness;depression;slump;stagnation
ふじゅん,不順,irregularity;unseasonableness
ふじゆう,不自由,discomfort;disability;inconvenience;destitution
ふじん,夫人,wife;Mrs;madam
ふじん,婦人,woman;female
ふすま,襖,sliding screen
ふせい,不正,injustice;unfairness;iniquity;impropriety;irregularity;dishonesty;illegality
ふせぐ,防ぐ,to defend (against);to protect;to prevent
ふそく,不足,insufficiency;shortage;deficiency;lack;dearth
ふぞく,付属,attached;belonging;affiliated;annexed;associated;subordinate;incidental;dependent;auxiliary
ふたご,双子,twins;a twin
ふたたび,再び,again;once more
ふたつ,二つ,two
ふたん,負担,burden;charge;responsibility
ふだん,普段,usually;habitually;ordinarily;always
ふちょう,不調,bad condition;not to work out (ie a deal);disagreement;break-off;disorder;slump;out of form
ふっかつ,復活,revival (e.g. musical);restoration
ふっこう,復興,revival;renaissance;reconstruction
ふっとう,沸騰,boiling;seething
ふつ,仏,French
ふつう,普通,1.  generally;ordinarily;usually; 2.  train that stops at every station
ふつう,不通,suspension;interruption;stoppage;tie-up;cessation
ふつか,二日,second day of the month;two days
ふで,筆,writing brush
ふと,不図,suddenly;casually;accidentally;incidentally;unexpectedly;unintentionally
ふとい,太い,fat;thick
ふとう,不当,injustice;impropriety;unreasonableness;undeservedness;unfair;invalid
ふとる,太る,to grow fat (stout  plump);to become fat
ふとん,布団,bedding (Japanese style);futon
ふどうさん,不動産,real estate
ふなびん,船便,surface mail (ship)
ふにん,赴任,(proceeding to) new appointment
ふね,舟,ship;boat;watercraft;shipping;vessel;steamship
ふね,船,ship;boat;watercraft;shipping;vessel;steamship
ふはい,腐敗,decay;depravity
ふひょう,不評,bad reputation;disgrace;unpopularity
ふびん,不便,pity;compassion
ふふく,不服,dissatisfaction;discontent;disapproval;objection;complaint;protest;disagreement
ふぶき,吹雪,snow storm
ふへい,不平,complaint;discontent;dissatisfaction
ふへん,普遍,universality;ubiquity;omnipresence
ふまえる,踏まえる,to be based on;to have origin in
ふまん,不満,dissatisfaction;displeasure;discontent;complaints;unhappiness
ふみ,文,letter;writings
ふみきり,踏切,railway crossing;level crossing;starting line;scratch;crossover
ふみこむ,踏み込む,to step into (someone else's territory);to break into;to raid
ふむ,踏む,to step on;to tread on
ふめい,不明,unknown;obscure;indistinct;uncertain;ambiguous;ignorant;lack of wisdom;anonymous;unidentified
ふもと,麓,the foot;the bottom;the base (of a mountain)
ふやす,増やす,to increase;to add to;to augment
ふやす,殖やす,to increase;to add to;to augment
ふゆ,冬,winter
ふよう,扶養,support;maintenance
ふらふら,,unsteady on one's feet;stagger;reel;totter;dizzy
ふり,振り,pretence;show;appearance
ふり,不利,disadvantage;handicap;unfavorable;drawback
ふりかえる,振り返る,to turn head;to look over one's shoulder;to turn around;to look back
ふりがな,振り仮名,furigana (hiragana over kanji);pronunciation key
ふりだし,振り出し,outset;starting point;drawing or issuing (draft)
ふりむく,振り向く,to turn one's face;to turn around
ふりょう,不良,badness;delinquent;inferiority;failure
ふりょく,浮力,buoyancy;floating power
ふる,降る,to precipitate;to fall (e.g. rain)
ふる,振る,to wave;to shake;to swing;to cast (actor)
ふるい,古い,old (not person);aged;ancient;antiquated;stale;threadbare;outmoded;obsolete article
ふるえる,震える,to shiver;to shake;to quake
ふるまう,振舞う,to behave;to conduct oneself;to entertain (vt)
ふるわせる,震わせる,to be shaking;to be trembling
ふれる,触れる,to touch;to be touched;to touch on a subject;to feel;to violate (law  copyright  etc.);to perceive;to be emotionally moved
ふろ,風呂,bath
ふろく,付録,appendix;supplement
ふろしき,風呂敷,wrapping cloth;cloth wrapper
ふん,分,minute
ふんいき,雰囲気,atmosphere (e.g. musical);mood;ambience
ふんか,噴火,eruption
ふんがい,憤慨,indignation;resentment
ふんしつ,紛失,losing something
ふんしゅつ,噴出,spewing;gushing;spouting;eruption;effusion
ふんすい,噴水,water fountain
ふんそう,紛争,dispute;trouble;strife
ふんだん,,plentiful;abundant;lavish
ふんとう,奮闘,hard struggle;strenuous effort
ふんまつ,粉末,fine powder
ぶ,部,department;part;category;counter for copies of a newspaper or magazine
ぶか,部下,subordinate person
ぶかぶか,,too big;baggy
ぶき,武器,weapon;arms;ordinance
ぶさた,無沙汰,neglecting to stay in contact
ぶし,武士,warrior;samurai
ぶしゅ,部首,radical (of a kanji character)
ぶじ,無事,safety;peace;quietness
ぶじょく,侮辱,insult;contempt;slight
ぶそう,武装,arms;armament;armed
ぶたい,舞台,stage (theatre)
ぶち,斑,spots;speckles;mottles
ぶっか,物価,prices of commodities;prices (in general)
ぶっし,物資,goods;materials
ぶっしつ,物質,material;substance
ぶっそう,物騒,dangerous;disturbed;insecure
ぶったい,物体,body;object
ぶつ,打つ,to hit;to strike
ぶつかる,,to strike;to collide with
ぶつぎ,物議,public discussion (criticism)
ぶつける,打付ける,to knock;to run into;to nail on;to strike hard;to hit and attack
ぶつぞう,仏像,Buddhist image (statue)
ぶつぶつ,,grumbling;complaining in a small voice
ぶつり,物理,physics
ぶなん,無難,safety;security
ぶひん,部品,parts;accessories
ぶぶん,部分,portion;section;part
ぶもん,部門,class;group;category;department;field;branch
ぶらさげる,ぶら下げる,to hang;to suspend;to dangle;to swing
ぶらぶら,,dangle heavily;swing;sway to and fro;aimlessly;idly;lazily;loiter;loaf;be idle;stroll idly
ぶりょく,武力,armed might;military power;the sword;force
ぶれい,無礼,impolite;rude
ぶんか,文化,culture;civilization
ぶんかい,分解,analysis;disassembly
ぶんかざい,文化財,cultural assets;cultural property
ぶんがく,文学,literature
ぶんぎょう,分業,division of labor;specialization;assembly-line production
ぶんけん,文献,literature;books (reference)
ぶんげい,文芸,literature;art and literature;belles-lettres
ぶんご,文語,written language;literary language
ぶんさん,分散,dispersion;decentralization;variance (statistics)
ぶんし,分子,numerator;molecule
ぶんしょ,文書,document;writing;letter;note;records;archives
ぶんしょう,文章,sentence;article
ぶんすう,分数,fraction (in math)
ぶんせき,分析,analysis
ぶんたい,文体,literary style
ぶんたん,分担,apportionment;sharing
ぶんぱい,分配,division;sharing
ぶんぷ,分布,distribution
ぶんぼ,分母,denominator
ぶんぼうぐ,文房具,stationery
ぶんぽう,文法,grammar
ぶんみゃく,文脈,context
ぶんめい,文明,civilization;culture
ぶんや,分野,field;sphere;realm;division;branch
ぶんり,分離,separation;detachment;segregation;isolation
ぶんりょう,分量,amount;quantity
ぶんるい,分類,classification
ぶんれつ,分裂,split;division;break up
へい,塀,wall;fence
へいかい,閉会,closure
へいき,兵器,arms;weapons;ordinance
へいき,平気,coolness;calmness;composure;unconcern
へいこう,並行,(going) side by side;concurrent;abreast;at the same time;occurring together;parallel;parallelism
へいこう,閉口,shut mouth
へいこう,平行,(going) side by side;concurrent;abreast;at the same time;occurring together;parallel;parallelism
へいさ,閉鎖,closing;closure;shutdown;lockout;unsociable
へいし,兵士,soldier
へいじつ,平日,weekday;ordinary days
へいじょう,平常,normal;usual
へいたい,兵隊,soldier;sailor
へいほう,平方,square (e.g. metre);square
へいぼん,平凡,common;commonplace;ordinary;mediocre
へいや,平野,plain;open field
へいれつ,並列,arrangement;parallel;abreast
へいわ,平和,peace;harmony
へきえき,辟易,wince;shrink back;succumbing to;being frightened;disconcerted
へこむ,凹む,to be dented;to be indented;to yield to;to give;to sink;to collapse;to cave in;to be snubbed
へそ,臍,navel;belly-button
へた,下手,unskillful;poor;awkward
へだたる,隔たる,to be distant
へだてる,隔てる,to be shut out
へや,部屋,room
へらす,減らす,to abate;to decrease;to diminish;to shorten
へりくだる,謙る,to deprecate oneself and praise the listener
へる,減る,to decrease (in size or number);to diminish;to abate
へる,経る,to pass;to elapse;to experience
へん,変,change;incident;disturbance;strange;flat (music);odd;peculiar;suspicious-looking;queer;eccentric;funny
へん,辺,area;vicinity
へん,編,compilation;editing;completed poem;book;part of book
へん,偏,side;left radical of a character;inclining;inclining toward;biased
へんか,変化,change;variation;alteration;mutation;transition;transformation;transfiguration;metamorphosis;variety;diversity;inflection;declension;conjugation
へんかく,変革,change;reform;revolution;upheaval;(the) Reformation
へんかん,返還,return;restoration
へんけん,偏見,prejudice;narrow view
へんこう,変更,change;modification;alteration
へんさい,返済,repayment
へんしゅう,編集,editing;compilation;editorial (e.g. committee)
へんじ,返事,reply;answer
へんせん,変遷,change;transition;vicissitudes
へんとう,返答,reply
へんどう,変動,change;fluctuation
べっそう,別荘,holiday house;villa
べつ,別,distinction;difference;different;another;particular;separate;extra;exception
べつに,別に,(not) particularly;nothing
べつべつ,別々,separately;individually
べんかい,弁解,explanation;justification;defence;excuse
べんきょう,勉強,study;diligence;discount;reduction
べんぎ,便宜,convenience;accommodation;advantage;expedience
べんご,弁護,defense;pleading;advocacy
べんしょう,弁償,next word;compensation;reparation;indemnity;reimbursement
べんじょ,便所,toilet;lavatory;rest room;latrine;comfort station
べんとう,弁当,box lunch
べんり,便利,convenient;handy;useful
べんろん,弁論,discussion;debate;argument
ぺこぺこ,,fawn;be very hungry
ほ,穂,ear (of plant);head (of plant)
ほいく,保育,nursing;nurturing;rearing;lactation;suckling
ほう,法,Act (law: the X Act)
ほう,倣,imitate;follow;emulate
ほうあん,法案,bill (law)
ほうかい,崩壊,collapse;decay (physics);crumbling;breaking down;caving in
ほうがく,法学,law;jurisprudence
ほうがく,方角,direction;way;compass point
ほうき,放棄,abandonment;renunciation;abdication (responsibility  right)
ほうき,宝器,treasured article or vessel;outstanding individual
ほうけん,封建,feudalistic
ほうげん,方言,dialect
ほうこう,方向,direction;course;way
ほうこく,報告,report;information
ほうさく,豊作,abundant harvest;bumper crop
ほうさく,方策,plan;policy
ほうし,奉仕,attendance;service
ほうしき,方式,form;method;system
ほうしゃ,放射,radiation;emission
ほうしゃのう,放射能,radioactivity
ほうしゅう,報酬,remuneration;recompense;reward;toll
ほうしゅつ,放出,release;emit
ほうしん,方針,objective;plan;policy
ほうじる,報じる,to inform;to report
ほうずる,報ずる,to inform;to report
ほうせき,宝石,gem;jewel
ほうそう,放送,broadcast;broadcasting
ほうそう,包装,packing;wrapping
ほうそく,法則,law;rule
ほうたい,包帯,bandage;dressing
ほうち,放置,leave as is;leave to chance;leave alone;neglect
ほうちょう,庖丁,kitchen knife;carving knife
ほうてい,法廷,courtroom
ほうていしき,方程式,equation
ほうどう,報道,information;report
ほうび,褒美,reward;prize
ほうふ,豊富,abundance;wealth;plenty;bounty
ほうほう,方法,method;manner;way;means;technique
ほうむる,葬る,to bury;to inter;to entomb;to consign to oblivion;to shelve
ほうめん,方面,direction;district;field (e.g.  of study)
ほうもん,訪問,call;visit
ほうりこむ,放り込む,to throw into
ほうりだす,放り出す,to throw out;to fire;to expel;to give up;to abandon;to neglect
ほうりつ,法律,law
ほうる,放る,to let go
ほうわ,飽和,saturation
ほえる,吠える,to bark;to bay;to howl;to bellow;to roar;to cry
ほお,頬,cheek (of face)
ほおん,保温,retaining warmth;keeping heat in;heat insulation
ほか,他,other
ほかく,捕獲,capture;seizure
ほかん,保管,charge;custody;safekeeping;deposit;storage
ほがらか,朗らか,brightness;cheerfulness;melodious
ほきゅう,補給,supply;supplying;replenishment
ほきょう,補強,compensation;reinforcement
ほけん,保険,insurance;guarantee
ほけん,保健,health preservation;hygiene;sanitation
ほげい,捕鯨,whaling;whale fishing
ほこり,誇り,pride
ほこり,埃,dust
ほこる,誇る,to boast of;to be proud of
ほころびる,綻びる,to come apart at the seams;to begin to open;to smile broadly
ほご,保護,care;protection;shelter;guardianship;favor;patronage
ほし,星,star
ほし,乾,dried;cured
ほしい,欲しい,wanted;wished for;in need of;desired
ほしもの,干し物,dried washing (clothes)
ほしゅ,保守,conservative;maintaining
ほしょう,保障,guarantee;security;assurance;pledge;warranty
ほしょう,補償,compensation;reparation
ほしょう,保証,guarantee;security;assurance;pledge;warranty
ほじゅう,補充,supplementation;supplement;replenishment;replenishing
ほじょ,補助,assistance;support;aid;auxiliary
ほす,干す,to air;to dry;to desiccate;to drain (off);to drink up
ほそい,細い,thin;slender;fine
ほそう,舗装,pavement;road surface
ほそく,補足,supplement;complement
ほぞん,保存,preservation;conservation;storage;maintenance
ほっきょく,北極,North Pole
ほっさ,発作,fit;spasm
ほっと,,feel relieved
ほっぺた,頬っぺた,cheek
ほとり,辺り,(in the) neighbourhood;vicinity;nearby
ほとんど,殆ど,mostly;almost
ほど,程,degree;extent;bounds;limit
ほどう,歩道,footpath;walkway;sidewalk
ほどく,解く,to unfasten
ほどこす,施す,to donate;to give;to conduct;to apply;to perform
ほのお,炎,flame;blaze
ほほえむ,微笑む,to smile
ほぼ,保母,day care worker in a kindergarten  nursery school  etc.
ほめる,褒める,to praise;to admire;to speak well
ほよう,保養,health preservation;recuperation;recreation
ほり,捕吏,constable
ほりょ,捕虜,prisoner (of war)
ほる,掘る,to dig;to excavate
ほる,彫る,to carve;to engrave;to sculpture;to chisel
ほろびる,滅びる,to be ruined;to go under;to perish;to be destroyed
ほろぼす,滅ぼす,to destroy;to overthrow;to wreck;to ruin
ほん,本,book;main;head;this;our;counter for long cylindrical things
ほんかく,本格,propriety;fundamental rules
ほんかん,本館,main building
ほんき,本気,seriousness;truth;sanctity
ほんごく,本国,one's own country
ほんしつ,本質,essence;true nature;reality
ほんたい,本体,substance;real form;object of worship
ほんとう,本当,truth;reality
ほんにん,本人,the person himself
ほんね,本音,real intention;motive
ほんの,本の,mere;only;just
ほんのう,本能,instinct
ほんば,本場,home;habitat;center;best place;genuine
ほんぶ,本部,headquarters
ほんぶん,本文,text (of document);body (of letter)
ほんみょう,本名,real name
ほんもの,本物,genuine article
ほんやく,翻訳,translation;de-encryption;deciphering
ほんらい,本来,originally
ぼう,棒,pole;rod;stick
ぼう,卯,fourth sign of Chinese zodiac (The Hare  5am-7am  east  February)
ぼうえい,防衛,defense;protection;self-defense
ぼうえき,貿易,trade (foreign)
ぼうえんきょう,望遠鏡,telescope
ぼうか,防火,fire prevention;fire fighting;fire proof
ぼうがい,妨害,disturbance;obstruction;hindrance;jamming;interference
ぼうけん,冒険,risk;venture;adventure
ぼうさん,坊さん,Buddhist priest;monk
ぼうし,帽子,hat
ぼうし,防止,prevention;check
ぼうせき,紡績,spinning
ぼうぜん,呆然,dumbfounded;overcome with surprise;in blank amazement
ぼうだい,膨大,huge;bulky;enormous;extensive;swelling;expansion
ぼうちょう,膨脹,expansion;swelling;increase;growth
ぼうとう,冒頭,beginning;start;outset
ぼうどう,暴動,insurrection;rebellion;revolt;riot;uprising
ぼうはん,防犯,prevention of crime
ぼうふう,暴風,storm;windstorm;gale
ぼうや,坊や,boy
ぼうりょく,暴力,violence
ぼきん,募金,fund-raising;collection of funds
ぼくし,牧師,pastor;minister;clergyman
ぼくじょう,牧場,1.  farm (livestock); 2.  pasture land;meadow;grazing land
ぼくちく,牧畜,stock-farming
ぼこう,母校,alma mater
